game type,no. players,blinds,players order,hero cards,players cards,game details,rake,jackpot
6-max,6,"[0.01, 0.02]","['9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb']",[Tc Ac],"['', '[Tc Ac]', '', '', '', '']","{'player': ['9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb'], 'stack': [2.96, 1.98, 3.04, 2.55, 5.23, 2.0, 2.96, 2.96, 2.02, 3.04, 2.55, 5.23, 2.0], 'action': ['sb', 'bb', 'fold', 'fold', 'fold', 'fold', 'fold', 'lose', 'win', 'lose', 'lose', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0, 0, 0, 0, 0, -0.01, 0.01, 0, 0, 0, 0], 'round': [0, 0, 0, 0, 0, 0, 0, 'end', 'end', 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 4, 5, 0, 0, 1, 2, 3, 4, 5], 'tables_cards': [[], [], [], [], [], [], [], [], [], [], [], [], []], 'round chips': [0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0, 0, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997]}",0.0,0.0
6-max,6,"[0.01, 0.02]","['Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02']",[9c Ad],"['[9c Ad]', '', '', '', '', '']","{'player': ['Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb', '9e0fad02', 'Hero', '9e0fad02', 'Hero', '9e0fad02', 'Hero', 'Hero', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02'], 'stack': [2.0, 3.02, 2.55, 5.23, 2.0, 2.92, 1.87, 3.02, 2.82, 1.87, 2.82, 1.87, 2.68, 1.73, 1.39, 2.68, 2.63, 3.02, 2.55, 5.23, 2.0, 2.68], 'action': ['sb', 'bb', 'fold', 'fold', 'fold', 'raise', 'raise', 'fold', 'call', 'check', 'check', 'check', 'bet', 'call', 'bet', 'fold', 'win', 'lose', 'lose', 'lose', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0, 0, 0, 0.04, 0.14, 0, 0.1, 0, 0, 0, 0.14, 0.14, 0.34, 0, 0.3, -0.02, 0, 0, 0, -0.28], 'round': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 'end', 'end', 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 4, 5, 0, 1, 5, 0, 5, 0, 5, 0, 0, 5, 0, 1, 2, 3, 4, 5], 'tables_cards': [[], [], [], [], [], [], [], [], [], ['7s', '5d', '6h'], ['7s', '5d', '6h'], ['7s', '5d', '6h', 'Js'], ['7s', '5d', '6h', 'Js'], ['7s', '5d', '6h', 'Js'], ['7s', '5d', '6h', 'Js', 'Th'], ['7s', '5d', '6h', 'Js', 'Th'], ['7s', '5d', '6h', 'Js', 'Th'], ['7s', '5d', '6h', 'Js', 'Th'], ['7s', '5d', '6h', 'Js', 'Th'], ['7s', '5d', '6h', 'Js', 'Th'], ['7s', '5d', '6h', 'Js', 'Th'], ['7s', '5d', '6h', 'Js', 'Th']], 'round chips': [0.03, 0.03, 0.03, 0.03, 0.03, 0.07, 0.2, 0.2, 0.30000000000000004, 0, 0, 0, 0.14, 0.28, 0.34, 0.34, 0, 0, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.5800000000000001, 0.5800000000000001, 0.5800000000000001, 0.5800000000000001, 0.5800000000000001, 0.5800000000000001, 0.5800000000000001, 0.5800000000000001]}",0.02,0.0
6-max,6,"[0.01, 0.02]","['82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02', 'Hero']",[4s 8c],"['', '', '', '', '', '[4s 8c]']","{'player': ['82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02', 'Hero'], 'stack': [3.01, 2.53, 5.23, 2.0, 2.68, 2.29, 3.01, 3.01, 2.57, 5.23, 2.0, 2.68, 2.29], 'action': ['sb', 'bb', 'fold', 'fold', 'fold', 'fold', 'fold', 'lose', 'win', 'lose', 'lose', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0, 0, 0, 0, 0, -0.01, 0.01, 0, 0, 0, 0], 'round': [0, 0, 0, 0, 0, 0, 0, 'end', 'end', 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 4, 5, 0, 0, 1, 2, 3, 4, 5], 'tables_cards': [[], [], [], [], [], [], [], [], [], [], [], [], []], 'round chips': [0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0, 0, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997]}",0.0,0.0
6-max,6,"[0.01, 0.02]","['c52c668b', '49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb']",[8s Qd],"['', '', '', '', '[8s Qd]', '']","{'player': ['c52c668b', '49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb'], 'stack': [2.55, 5.21, 2.0, 2.68, 2.29, 3.01, 2.55, 2.55, 5.25, 2.0, 2.68, 2.29, 3.01], 'action': ['sb', 'bb', 'fold', 'fold', 'fold', 'fold', 'fold', 'lose', 'win', 'lose', 'lose', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0, 0, 0, 0, 0, -0.01, 0.01, 0, 0, 0, 0], 'round': [0, 0, 0, 0, 0, 0, 0, 'end', 'end', 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 4, 5, 0, 0, 1, 2, 3, 4, 5], 'tables_cards': [[], [], [], [], [], [], [], [], [], [], [], [], []], 'round chips': [0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0, 0, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997]}",0.0,0.0
6-max,6,"[0.01, 0.02]","['49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b']",[4d 5s],"['', '', '', '[4d 5s]', '', '']","{'player': ['49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '49c58cd5', '3831aebb', '49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b'], 'stack': [5.23, 1.98, 2.68, 2.29, 3.01, 2.55, 5.22, 1.98, 5.2, 1.98, 5.28, 1.98, 2.68, 2.29, 3.01, 2.55], 'action': ['sb', 'bb', 'fold', 'fold', 'fold', 'fold', 'call', 'check', 'bet', 'fold', 'win', 'lose', 'lose', 'lose', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0, 0, 0, 0, 0.01, 0, 0.02, 0, 0.02, -0.02, 0, 0, 0, 0], 'round': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 'end', 'end', 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 4, 5, 0, 1, 0, 1, 0, 1, 2, 3, 4, 5], 'tables_cards': [[], [], [], [], [], [], [], [], ['6d', 'Qh', 'Ks'], ['6d', 'Qh', 'Ks'], [], [], [], [], [], []], 'round chips': [0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.04, 0.04, 0.02, 0.02, 0, 0, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994]}",0.0,0.0
6-max,6,"[0.01, 0.02]","['3831aebb', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5']",[8d 4d],"['', '', '[8d 4d]', '', '', '']","{'player': ['3831aebb', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02', '82bc32eb', '49c58cd5', '82bc32eb', '3831aebb', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5'], 'stack': [1.99, 2.66, 2.29, 2.95, 2.55, 5.2, 1.99, 2.66, 2.95, 5.15, 2.95, 1.99, 2.66, 2.29, 2.95, 2.55, 5.4], 'action': ['sb', 'bb', 'fold', 'raise', 'fold', 'call', 'fold', 'fold', 'check', 'bet', 'fold', 'lose', 'lose', 'lose', 'lose', 'lose', 'win'], 'actions_detail': [0.01, 0.02, 0, 0.06, 0, 0.06, 0, 0, 0, 0.05, 0, -0.01, -0.02, 0, -0.06, 0, 0.09], 'round': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 'end', 'end', 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 4, 5, 0, 1, 3, 5, 3, 0, 1, 2, 3, 4, 5], 'tables_cards': [[], [], [], [], [], [], [], [], ['Ac', '2c', '3s'], ['Ac', '2c', '3s'], ['Ac', '2c', '3s'], [], [], [], [], [], []], 'round chips': [0.03, 0.03, 0.03, 0.09, 0.09, 0.15, 0.15, 0.15, 0, 0.05, 0.05, 0, 0, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997, 0.14999999999999997]}",0.0,0.0
6-max,6,"[0.01, 0.02]","['9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb']",[Ac 7c],"[['Kd', 'As'], '[Ac 7c]', ['Qh', 'Jh'], '', '', '']","{'player': ['9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', '9e0fad02', 'Hero', '82bc32eb', '9e0fad02', '82bc32eb', '9e0fad02', '82bc32eb', '9e0fad02', '82bc32eb', '9e0fad02', '82bc32eb', '9e0fad02', '9e0fad02', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb'], 'stack': [2.65, 2.27, 2.89, 2.55, 5.35, 2.0, 2.5, 2.27, 2.79, 2.32, 2.61, 2.32, 2.44, 1.98, 2.27, 1.98, 1.35, 1.06, 1.06, 2.27, 4.39, 2.55, 5.35, 2.0], 'action': ['sb', 'bb', 'raise', 'fold', 'fold', 'fold', 'raise', 'fold', 'call', 'bet', 'call', 'check', 'bet', 'raise', 'call', 'check', 'bet', 'call', 'lose', 'lose', 'win', 'lose', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0.06, 0, 0, 0, 0.16, 0, 0.1, 0.18, 0.18, 0, 0.17, 0.34, 0.17, 0, 0.92, 0.92, -1.6, -0.02, 1.62, 0, 0, 0], 'round': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 'end', 'end', 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 4, 5, 0, 1, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 1, 2, 3, 4, 5], 'tables_cards': [[], [], [], [], [], [], [], [], [], ['9d', 'Js', '9s'], ['9d', 'Js', '9s'], ['9d', 'Js', '9s', 'Jc'], ['9d', 'Js', '9s', 'Jc'], ['9d', 'Js', '9s', 'Jc'], ['9d', 'Js', '9s', 'Jc'], ['9d', 'Js', '9s', 'Jc', '3s'], ['9d', 'Js', '9s', 'Jc', '3s'], ['9d', 'Js', '9s', 'Jc', '3s'], ['9d', 'Js', '9s', 'Jc', '3s'], ['9d', 'Js', '9s', 'Jc', '3s'], ['9d', 'Js', '9s', 'Jc', '3s'], ['9d', 'Js', '9s', 'Jc', '3s'], ['9d', 'Js', '9s', 'Jc', '3s'], ['9d', 'Js', '9s', 'Jc', '3s']], 'round chips': [0.03, 0.03, 0.09, 0.09, 0.09, 0.09, 0.24, 0.24, 0.33999999999999997, 0.18, 0.36, 0, 0.17, 0.51, 0.68, 0, 0.92, 1.84, 0, 0, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.33999999999999997, 0.33999999999999997, 0.7, 0.7, 0.7, 0.7, 1.38, 1.38, 1.38, 3.2199999999999998, 3.2199999999999998, 3.2199999999999998, 3.2199999999999998, 3.2199999999999998, 3.2199999999999998]}",0.16,0.02
6-max,5,"[0.01, 0.02]","['82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', 'Hero']",[2c 3c],"['', '', '', '', '[2c 3c]']","{'player': ['82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', 'Hero', '82bc32eb', 'c52c668b', 'Hero', '82bc32eb', 'c52c668b', '49c58cd5', '3831aebb', 'Hero'], 'stack': [4.38, 2.53, 5.35, 2.0, 2.21, 4.17, 2.53, 2.21, 4.63, 2.53, 5.35, 2.0, 2.21], 'action': ['sb', 'bb', 'fold', 'fold', 'raise', 'raise', 'fold', 'fold', 'win', 'lose', 'lose', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0, 0, 0.06, 0.22, 0, 0, 0.08, -0.02, 0, 0, -0.06], 'round': [0, 0, 0, 0, 0, 0, 0, 0, 'end', 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 4, 0, 1, 4, 0, 1, 2, 3, 4], 'tables_cards': [[], [], [], [], [], [], [], [], [], [], [], [], []], 'round chips': [0.03, 0.03, 0.03, 0.03, 0.09, 0.3, 0.3, 0.3, 0, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.14, 0.14, 0.14, 0.14, 0.14]}",0.0,0.0
6-max,4,"[0.01, 0.02]","['49c58cd5', '3831aebb', 'Hero', 'c52c668b']",[6c Kc],"['', '', '[6c Kc]', '']","{'player': ['49c58cd5', '3831aebb', 'Hero', 'c52c668b', '49c58cd5', '49c58cd5', '3831aebb', 'Hero', 'c52c668b'], 'stack': [5.34, 1.98, 2.21, 2.53, 5.34, 5.34, 2.02, 2.21, 2.53], 'action': ['sb', 'bb', 'fold', 'fold', 'fold', 'lose', 'win', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0, 0, 0, -0.01, 0.01, 0, 0], 'round': [0, 0, 0, 0, 0, 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 0, 0, 1, 2, 3], 'tables_cards': [[], [], [], [], [], [], [], [], []], 'round chips': [0.03, 0.03, 0.03, 0.03, 0.03, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997, 0.019999999999999997]}",0.0,0.0
6-max,4,"[0.01, 0.02]","['3831aebb', 'Hero', 'c52c668b', '49c58cd5']",[Ah 8s],"['', '[Ah 8s]', '', '']","{'player': ['3831aebb', 'Hero', 'c52c668b', '49c58cd5', '3831aebb', 'Hero', '3831aebb', '3831aebb', 'Hero', 'c52c668b', '49c58cd5'], 'stack': [2.0, 2.19, 2.53, 5.34, 1.96, 2.05, 1.96, 1.96, 2.37, 2.53, 5.34], 'action': ['sb', 'bb', 'fold', 'fold', 'raise', 'raise', 'fold', 'lose', 'win', 'lose', 'lose'], 'actions_detail': [0.01, 0.02, 0, 0, 0.05, 0.16, 0, -0.05, 0.05, 0, 0], 'round': [0, 0, 0, 0, 0, 0, 0, 'end', 'end', 'end', 'end'], 'position': [0, 1, 2, 3, 0, 1, 0, 0, 1, 2, 3], 'tables_cards': [[], [], [], [], [], [], [], [], [], [], []], 'round chips': [0.03, 0.03, 0.03, 0.03, 0.07, 0.21000000000000002, 0.21000000000000002, 0, 0, 0, 0], 'pot': [0, 0.01, 0.03, 0.03, 0.03, 0.03, 0.03, 0.1, 0.1, 0.1, 0.1]}",0.0,0.0
